Country,Vlookup value,Year,Year (copy),Anomaly Standardised,CO2 Emissions,Number of Records,Temperature
AFG,AFG1994,1994,1994,0.258487472,1.29,1,13.1427075
AFG,AFG1995,1995,1995,0.240743306,1.24,1,13.124963333
AFG,AFG1996,1996,1996,-0.256217528,1.18,1,12.6280025
AFG,AFG1997,1997,1997,0.014550806,1.1,1,12.898770833
AFG,AFG1998,1998,1998,0.331571639,1.04,1,13.215791667
AFG,AFG1999,1999,1999,1.146772472,0.82,1,14.0309925
AFG,AFG2000,2000,2000,0.784064139,0.77,1,13.668284167
AFG,AFG2001,2001,2001,1.558444139,0.82,1,14.442664167
AFG,AFG2002,2002,2002,1.367934139,1.07,1,14.252154167
AFG,AFG2003,2003,2003,0.830571639,1.19,1,13.714791667
AFG,AFG2004,2004,2004,1.711441639,0.95,1,14.595661667
AFG,AFG2005,2005,2005,1.086877472,1.33,1,13.9710975
AFG,AFG2006,2006,2006,1.727094139,1.65,1,14.611314167
AFG,AFG2007,2007,2007,1.085849139,2.27,1,13.970069167
AFG,AFG2008,2008,2008,1.244546639,4.2,1,14.128766667
AFG,AFG2009,2009,2009,1.203960806,6.76,1,14.088180833
AFG,AFG2010,2010,2010,1.605248306,8.46,1,14.489468333
AFG,AFG2011,2011,2011,1.186973306,12.23,1,14.071193333
AFG,AFG2012,2012,2012,0.425484972,10.75,1,13.309705
AFG,AFG2013,2013,2013,1.305349139,10.01,1,14.189569167
AFG,AFG2014,2014,2014,1.082111639,9.8,1,13.966331667
AFG,AFG2015,2015,2015,1.222613306,10.43,1,14.106833333
ALB,ALB1901,1901,1901,-0.346668250,0,1,10.997926667
ALB,ALB1902,1902,1902,-0.103127417,0,1,11.2414675
ALB,ALB1903,1903,1903,0.035794250,0,1,11.380389167
ALB,ALB1904,1904,1904,0.041042583,0,1,11.3856375
ALB,ALB1905,1905,1905,-0.181900750,0,1,11.162694167
ALB,ALB1906,1906,1906,-0.421774917,0,1,10.92282
ALB,ALB1907,1907,1907,-0.440314917,0,1,10.90428
ALB,ALB1908,1908,1908,-0.836866583,0,1,10.507728333
ALB,ALB1909,1909,1909,-0.270156583,0,1,11.074438333
ALB,ALB1910,1910,1910,0.065851750,0,1,11.410446667
ALB,ALB1911,1911,1911,-0.271486583,0,1,11.073108333
ALB,ALB1912,1912,1912,-0.654781583,0,1,10.689813333
ALB,ALB1913,1913,1913,-0.361349917,0,1,10.983245
ALB,ALB1914,1914,1914,-0.759024917,0,1,10.58557
ALB,ALB1915,1915,1915,0.109031750,0,1,11.453626667
ALB,ALB1916,1916,1916,0.570280917,0,1,11.914875833
ALB,ALB1917,1917,1917,-0.226629083,0,1,11.117965833
ALB,ALB1918,1918,1918,-0.268926583,0,1,11.075668333
ALB,ALB1919,1919,1919,-0.165197417,0,1,11.1793975
ALB,ALB1920,1920,1920,-0.041959917,0,1,11.302635
ALB,ALB1921,1921,1921,-0.199649083,0,1,11.144945833
ALB,ALB1922,1922,1922,-0.044154917,0,1,11.30044
ALB,ALB1923,1923,1923,0.71525175,0,1,12.059846667
ALB,ALB1924,1924,1924,-0.337274917,0,1,11.00732
ALB,ALB1925,1925,1925,0.009511750,0,1,11.354106667
ALB,ALB1926,1926,1926,0.562426750,0,1,11.907021667
ALB,ALB1927,1927,1927,0.990175917,0,1,12.334770833
ALB,ALB1928,1928,1928,0.399108417,0,1,11.743703333
ALB,ALB1929,1929,1929,-0.424089083,0,1,10.920505833
ALB,ALB1930,1930,1930,0.480241750,0,1,11.824836667
ALB,ALB1931,1931,1931,0.065218417,0,1,11.409813333
ALB,ALB1932,1932,1932,0.053174250,0,1,11.397769167
ALB,ALB1933,1933,1933,-0.77479825,0.00734,1,10.569796667
ALB,ALB1934,1934,1934,0.64696925,0.00734,1,11.991564167
ALB,ALB1935,1935,1935,0.190469250,0.01835,1,11.535064167
ALB,ALB1936,1936,1936,0.417858417,0.12845,1,11.762453333
ALB,ALB1937,1937,1937,0.673915917,0.29727,1,12.018510833
ALB,ALB1938,1938,1938,0.034395083,0.34865,1,11.37899
ALB,ALB1939,1939,1939,0.23100425,0.43306,1,11.575599167
ALB,ALB1940,1940,1940,-0.85045075,0.69363,1,10.494144167
ALB,ALB1941,1941,1941,-0.527724083,0.62757,1,10.816870833
ALB,ALB1942,1942,1942,-0.019524917,0.74501,1,11.32507
ALB,ALB1943,1943,1943,0.667558417,0.46242,1,12.012153333
ALB,ALB1944,1944,1944,-0.046265750,0.15414,1,11.298329167
ALB,ALB1945,1945,1945,0.516256750,0.12111,1,11.860851667
ALB,ALB1946,1946,1946,0.889831750,0.48444,1,12.234426667
ALB,ALB1947,1947,1947,0.902857583,0.92851,1,12.2474525
ALB,ALB1948,1948,1948,0.078515917,0.70464,1,11.423110833
ALB,ALB1949,1949,1949,-0.187369083,1.01659,1,11.157225833
ALB,ALB1950,1950,1950,1.09544175,0.29727,1,12.440036667
ALB,ALB1951,1951,1951,0.856520917,0.4037,1,12.201115833
ALB,ALB1952,1952,1952,1.009375917,0.37434,1,12.353970833
ALB,ALB1953,1953,1953,-0.228215750,0.41471,1,11.116379167
ALB,ALB1954,1954,1954,-0.296162417,0.50279,1,11.0484325
ALB,ALB1955,1955,1955,0.391605917,0.66427,1,11.736200833
ALB,ALB1956,1956,1956,-0.459984083,0.84043,1,10.884610833
ALB,ALB1957,1957,1957,0.364394250,1.50837,1,11.708989167
ALB,ALB1958,1958,1958,0.327012583,1.20376,1,11.6716075
ALB,ALB1959,1959,1959,-0.467916583,1.44,1,10.876678333
ALB,ALB1960,1960,1960,0.438382583,2.02,1,11.7829775
ALB,ALB1961,1961,1961,0.566546750,2.28,1,11.911141667
ALB,ALB1962,1962,1962,0.369680083,2.46,1,11.714275
ALB,ALB1963,1963,1963,0.417292583,2.08,1,11.7618875
ALB,ALB1964,1964,1964,-0.092003250,2.02,1,11.252591667
ALB,ALB1965,1965,1965,-0.308189917,2.17,1,11.036405
ALB,ALB1966,1966,1966,0.476645083,2.55,1,11.82124
ALB,ALB1967,1967,1967,-0.025826583,2.68,1,11.318768333
ALB,ALB1968,1968,1968,0.066818417,3.07,1,11.411413333
ALB,ALB1969,1969,1969,-0.035696583,3.24,1,11.308898333
ALB,ALB1970,1970,1970,-0.063614917,3.74,1,11.28098
ALB,ALB1971,1971,1971,-0.182515750,4.35,1,11.162079167
ALB,ALB1972,1972,1972,-0.149380750,5.64,1,11.195214167
ALB,ALB1973,1973,1973,-0.252564083,5.29,1,11.092030833
ALB,ALB1974,1974,1974,-0.235821583,4.34,1,11.108773333
ALB,ALB1975,1975,1975,-0.220320750,4.59,1,11.124274167
ALB,ALB1976,1976,1976,-0.807242417,4.95,1,10.5373525
ALB,ALB1977,1977,1977,0.334426750,5.72,1,11.679021667
ALB,ALB1978,1978,1978,-0.570579917,6.49,1,10.774015
ALB,ALB1979,1979,1979,0.242362583,7.58,1,11.5869575
ALB,ALB1980,1980,1980,-0.690153250,5.17,1,10.654441667
ALB,ALB1981,1981,1981,-0.105807417,7.34,1,11.2387875
ALB,ALB1982,1982,1982,0.257972583,7.3,1,11.6025675
ALB,ALB1983,1983,1983,-0.253124917,7.62,1,11.09147
ALB,ALB1984,1984,1984,-0.296337417,7.82,1,11.0482575
ALB,ALB1985,1985,1985,0.047811750,7.87,1,11.392406667
